job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,benefits_score,company_name,remote_category
XYZ038,Data Engineer,86039,GBP,Entry_Level,Part Time,Germany,M,Switzerland,0,"Java, TensorFlow, Computer Vision, Data Visualization, AWS",Master,5,Finance,9/13/19,6.1,Visionary AI,On-site
XYZ039,AI Product Manager,160050,EUR,Mid,Contract,France,S,Germany,50,"Mathematics, MLOps, Azure, Scala, Spark",Master,0,Education,8/28/19,5.3,AlphaByte AI,Hybrid
XYZ040,Machine Learning Researcher,156611,EUR,Senior,Contract,China,L,Australia,0,"TensorFlow, Scala, Statistics, Azure, NLP",Master,5,Gaming,12/22/19,8.1,NextGen Analytics,On-site
XYZ041,ML Ops Engineer,142422,GBP,Senior,Freelancer,Singapore,L,Denmark,0,"Data Visualization, Git, Statistics, Azure, Docker",Associate,10,Consulting,7/27/19,8.8,NextGen Analytics,On-site
XYZ042,Computer Vision Engineer,70154,EUR,Entry_Level,Contract,Singapore,S,Norway,100,"Hadoop, Azure, Deep Learning, NLP, GCP",Master,12,Retail,5/18/19,8.7,AlphaByte AI,Fully Remote
XYZ043,Deep Learning Engineer,155291,EUR,Senior,Contract,Ireland,L,Denmark,50,"Deep Learning, R, GCP, Scala, PyTorch",PhD,9,Healthcare,8/20/19,7.1,AlphaByte AI,Hybrid
XYZ044,Machine Learning Researcher,84954,USD,Entry_Level,Part Time,Australia,L,Japan,100,"Hadoop, Kubernetes, Mathematics, Spark, Azure",Associate,2,Consulting,8/21/19,5.5,AlphaByte AI,Fully Remote
XYZ045,Data Scientist,73696,USD,Senior,Freelancer,Japan,L,China,0,"Statistics, MLOps, SQL, Mathematics, PyTorch",Bachelor,5,Media,4/5/19,8.2,AlphaByte AI,On-site
XYZ046,Machine Learning Engineer,137040,EUR,Mid,Full Time,United States,M,Japan,100,"MLOps, Tableau, SQL, Kubernetes, NLP",Bachelor,13,Education,8/26/19,7.6,AlphaByte AI,Fully Remote
XYZ047,Head of AI,136876,EUR,Senior,Part Time,Canada,S,Australia,50,"TensorFlow, Mathematics, Tableau, GCP, Data Visualization",Associate,14,Education,9/28/19,9.4,AlphaByte AI,Hybrid
XYZ048,ML Ops Engineer,137274,EUR,Executive,Full Time,Denmark,S,Norway,0,"R, Tableau, Hadoop, Computer Vision, Mathematics",Bachelor,14,Transportation,4/2/19,7.5,AlphaByte AI,On-site
XYZ049,Machine Learning Researcher,130038,EUR,Entry_Level,Freelancer,Germany,L,Austria,100,"Mathematics, Computer Vision, Data Visualization, Statistics, TensorFlow",Master,8,Energy,9/28/19,7.8,NextGen Analytics,Fully Remote
XYZ050,Computer Vision Engineer,89560,USD,Entry_Level,Part Time,Austria,L,South Korea,100,"Azure, Mathematics, Computer Vision, Scala, AWS",Associate,10,Retail,4/19/19,8.5,NextGen Analytics,Fully Remote
XYZ051,Data Analyst,70024,GBP,Mid,Freelancer,Germany,S,Canada,100,"MLOps, Computer Vision, R, Java, SQL",PhD,13,Healthcare,5/8/19,5.8,NextGen Analytics,Fully Remote
XYZ052,Autonomous Systems Engineer,105492,EUR,Senior,Freelancer,Israel,L,Denmark,50,"Kubernetes, Mathematics, TensorFlow, AWS, PyTorch",Bachelor,10,Technology,5/1/19,9.6,NeuralNet Inc,Hybrid
XYZ053,Head of AI,157901,EUR,Executive,Full Time,Singapore,M,Netherlands,100,"Computer Vision, R, Deep Learning, NLP, Scala",Bachelor,2,Telecommunications,1/23/19,6.5,AlphaByte AI,Fully Remote
XYZ054,AI Software Engineer,89928,EUR,Mid,Freelancer,Ireland,M,United States,50,"R, SQL, MLOps, AWS, Scala",Bachelor,3,Technology,5/25/19,6.1,NextGen Analytics,Hybrid
XYZ055,NLP Engineer,124894,EUR,Mid,Part Time,China,S,Canada,100,"R, MLOps, SQL, Tableau, Python",Bachelor,10,Media,2/19/19,6.3,Quantum Minds,Fully Remote
XYZ056,Data Scientist,150625,USD,Entry_Level,Freelancer,France,M,South Korea,50,"Docker, TensorFlow, Kubernetes, Deep Learning, Hadoop",Master,12,Transportation,4/2/19,7.3,NextGen Analytics,Hybrid
XYZ057,Principal Data Scientist,110906,USD,Entry_Level,Full Time,United Kingdom,M,Norway,100,"R, Git, Azure, Tableau, Docker",Associate,6,Government,1/24/19,7.3,Visionary AI,Fully Remote
XYZ058,AI Specialist,76584,EUR,Entry_Level,Part Time,India,M,United States,0,"Linux, Tableau, SQL, Hadoop, TensorFlow",Bachelor,9,Real Estate,2/23/19,8.2,NeuralNet Inc,On-site
XYZ059,Robotics Engineer,114551,EUR,Entry_Level,Part Time,Singapore,L,Ireland,50,"Python, Computer Vision, Spark, Deep Learning, Linux",Bachelor,2,Finance,5/2/19,5.1,Visionary AI,Hybrid
XYZ060,AI Product Manager,120755,GBP,Entry_Level,Freelancer,Norway,L,Norway,50,"SQL, Statistics, TensorFlow, NLP, GCP",PhD,6,Technology,8/23/19,9.5,Visionary AI,Hybrid
XYZ061,AI Consultant,146595,EUR,Senior,Freelancer,United Kingdom,M,Austria,100,"Mathematics, AWS, Data Visualization, Python, Statistics",Master,14,Technology,8/19/19,9.0,NeuralNet Inc,Fully Remote
XYZ062,Autonomous Systems Engineer,74778,EUR,Entry_Level,Contract,Switzerland,S,Israel,50,"Java, Scala, Docker, MLOps, Hadoop",Bachelor,0,Media,5/20/19,8.8,NeuralNet Inc,Hybrid
XYZ063,Computer Vision Engineer,96350,USD,Entry_Level,Full Time,United Kingdom,M,Israel,100,"NLP, Java, Azure, Linux, Mathematics",Associate,5,Healthcare,11/24/19,5.2,NeuralNet Inc,Fully Remote
XYZ064,NLP Engineer,158245,GBP,Entry_Level,Part Time,Switzerland,L,France,50,"Java, Statistics, R, Python, Hadoop",Bachelor,0,Gaming,1/23/19,7.5,NeuralNet Inc,Hybrid
XYZ065,AI Software Engineer,78766,GBP,Executive,Freelancer,Sweden,M,Sweden,100,"Java, Mathematics, Spark, MLOps, Statistics",Master,15,Transportation,4/21/19,9.8,AlphaByte AI,Fully Remote
XYZ066,Data Engineer,107411,GBP,Executive,Part Time,Netherlands,S,Netherlands,50,"Computer Vision, Data Visualization, Hadoop, R, Tableau",Master,4,Manufacturing,3/3/19,5.9,NeuralNet Inc,Hybrid
XYZ067,Principal Data Scientist,72634,USD,Mid,Full Time,Netherlands,L,India,50,"Tableau, Kubernetes, Python, Hadoop, Computer Vision",Master,2,Government,3/14/19,5.4,NeuralNet Inc,Hybrid
XYZ068,Machine Learning Researcher,100298,EUR,Mid,Freelancer,Netherlands,M,Finland,50,"NLP, Spark, Azure, Python, Computer Vision",PhD,5,Telecommunications,2/6/19,9.9,NeuralNet Inc,Hybrid
XYZ069,AI Product Manager,150394,USD,Mid,Contract,India,S,France,50,"Hadoop, Java, SQL, Computer Vision, Tableau",Bachelor,13,Consulting,11/27/19,7.4,Visionary AI,Hybrid
XYZ070,Principal Data Scientist,122792,GBP,Mid,Contract,India,M,Ireland,50,"Deep Learning, Mathematics, MLOps, NLP, Git",Master,13,Gaming,7/19/19,5.7,NextGen Analytics,Hybrid
XYZ071,Robotics Engineer,88671,USD,Mid,Contract,Singapore,S,Austria,100,"Spark, TensorFlow, Statistics, Tableau, NLP",Master,3,Manufacturing,9/11/19,5.1,NeuralNet Inc,Fully Remote
XYZ072,Robotics Engineer,141807,EUR,Senior,Full Time,Australia,S,United Kingdom,100,"Scala, Tableau, Python, Statistics, Git",Master,13,Retail,9/15/19,8.5,NeuralNet Inc,Fully Remote
XYZ073,Machine Learning Engineer,110180,GBP,Entry_Level,Full Time,China,L,Japan,100,"Docker, MLOps, Spark, SQL, Data Visualization",Master,13,Manufacturing,10/17/19,6.5,NeuralNet Inc,Fully Remote
XYZ074,Machine Learning Engineer,133854,GBP,Senior,Part Time,Norway,M,Netherlands,0,"Java, Python, Azure, Git, TensorFlow",PhD,5,Media,1/22/19,7.2,AlphaByte AI,On-site
XYZ075,AI Research Scientist,102153,EUR,Executive,Freelancer,United Kingdom,L,United Kingdom,50,"Kubernetes, Linux, Hadoop, TensorFlow, Statistics",Associate,4,Automotive,7/3/19,6.1,NextGen Analytics,Hybrid
XYZ076,AI Specialist,75402,USD,Mid,Full Time,Israel,M,United Kingdom,0,"Deep Learning, TensorFlow, Kubernetes, Tableau, R",PhD,8,Telecommunications,11/3/19,8.8,NeuralNet Inc,On-site
XYZ077,ML Ops Engineer,115271,EUR,Executive,Freelancer,United States,L,China,100,"Mathematics, Computer Vision, PyTorch, GCP, TensorFlow",PhD,9,Manufacturing,6/24/19,9.7,Quantum Minds,Fully Remote
XYZ078,AI Specialist,157523,USD,Mid,Contract,United Kingdom,L,France,100,"GCP, Tableau, Deep Learning, Data Visualization, Azure",PhD,1,Finance,4/8/19,8.1,Quantum Minds,Fully Remote
XYZ079,NLP Engineer,70849,GBP,Entry_Level,Part Time,Australia,M,Denmark,50,"Hadoop, Docker, PyTorch, MLOps, GCP",Bachelor,9,Government,8/15/19,9.2,Visionary AI,Hybrid
XYZ080,AI Specialist,117896,USD,Senior,Contract,Sweden,M,Switzerland,0,"Tableau, Git, Data Visualization, PyTorch, Spark",Associate,9,Media,11/22/19,7.9,Quantum Minds,On-site
XYZ081,AI Architect,138808,EUR,Executive,Part Time,Switzerland,M,China,50,"PyTorch, Python, Statistics, Git, Hadoop",Master,4,Automotive,9/24/19,6.7,Quantum Minds,Hybrid
XYZ082,AI Architect,138007,EUR,Mid,Part Time,France,M,Sweden,100,"R, Spark, Java, MLOps, PyTorch",Master,14,Gaming,2/11/19,8.1,NeuralNet Inc,Fully Remote
XYZ083,Principal Data Scientist,107937,USD,Mid,Contract,Canada,L,France,100,"Java, Linux, Tableau, GCP, Statistics",Bachelor,8,Real Estate,3/5/19,9.4,AlphaByte AI,Fully Remote
XYZ084,AI Architect,144684,GBP,Mid,Full Time,Germany,L,France,100,"R, Java, PyTorch, Kubernetes, GCP",Bachelor,1,Government,8/4/19,5.3,Quantum Minds,Fully Remote
XYZ085,Computer Vision Engineer,93655,USD,Entry_Level,Part Time,Germany,M,Ireland,100,"Python, AWS, SQL, Data Visualization, Scala",Bachelor,1,Government,2/19/19,7.0,Visionary AI,Fully Remote
XYZ086,AI Research Scientist,90846,EUR,Executive,Part Time,Canada,M,Canada,50,"GCP, Java, Data Visualization, MLOps, Mathematics",PhD,2,Education,5/6/19,7.4,NeuralNet Inc,Hybrid
XYZ087,AI Product Manager,91362,USD,Senior,Freelancer,United Kingdom,S,Switzerland,100,"GCP, Spark, AWS, Azure, Mathematics",Bachelor,3,Education,1/20/19,9.0,Visionary AI,Fully Remote
XYZ088,NLP Engineer,69823,USD,Mid,Freelancer,Ireland,L,United Kingdom,50,"Scala, Data Visualization, MLOps, NLP, GCP",Bachelor,3,Gaming,9/12/19,8.7,NextGen Analytics,Hybrid
XYZ089,Deep Learning Engineer,97583,EUR,Executive,Contract,United States,L,Finland,100,"Python, Spark, SQL, Computer Vision, Linux",Master,12,Finance,8/16/19,7.9,Visionary AI,Fully Remote
XYZ090,Data Scientist,81734,USD,Executive,Freelancer,Singapore,L,United States,50,"Kubernetes, R, Azure, Spark, Python",Bachelor,13,Transportation,10/1/19,7.0,AlphaByte AI,Hybrid
XYZ091,Machine Learning Researcher,133600,GBP,Entry_Level,Part Time,United States,S,Finland,100,"Kubernetes, PyTorch, AWS, Data Visualization, Docker",Associate,2,Education,2/2/19,7.6,AlphaByte AI,Fully Remote
XYZ092,ML Ops Engineer,132301,EUR,Mid,Part Time,Singapore,L,Ireland,100,"Docker, Deep Learning, Python, PyTorch, SQL",Bachelor,5,Media,1/2/19,7.0,Quantum Minds,Fully Remote
XYZ093,Research Scientist,93021,GBP,Senior,Freelancer,Israel,M,Austria,50,"Docker, R, Data Visualization, GCP, SQL",Master,15,Technology,8/27/19,8.6,Quantum Minds,Hybrid
XYZ094,Head of AI,88985,USD,Entry_Level,Freelancer,Netherlands,S,Israel,50,"GCP, Data Visualization, AWS, Linux, Docker",Master,9,Media,12/16/19,9.2,NeuralNet Inc,Hybrid
XYZ095,Computer Vision Engineer,100368,GBP,Senior,Freelancer,Austria,L,United States,100,"Statistics, Git, Python, Data Visualization, PyTorch",Bachelor,10,Telecommunications,6/11/19,6.1,Visionary AI,Fully Remote
XYZ096,AI Software Engineer,103335,USD,Mid,Full Time,Ireland,L,Norway,100,"Statistics, SQL, NLP, Linux, Scala",Bachelor,5,Education,2/23/19,6.4,Visionary AI,Fully Remote
XYZ097,NLP Engineer,128276,USD,Executive,Contract,China,M,Japan,50,"NLP, PyTorch, Hadoop, Linux, Scala",Master,15,Automotive,1/2/19,9.6,NeuralNet Inc,Hybrid
XYZ098,ML Ops Engineer,131798,EUR,Executive,Contract,Norway,S,Ireland,50,"Azure, Docker, Statistics, GCP, Git",Bachelor,3,Consulting,1/8/19,6.9,NeuralNet Inc,Hybrid
XYZ099,Robotics Engineer,134005,GBP,Entry_Level,Part Time,France,M,Ireland,50,"NLP, Docker, Java, Hadoop, Kubernetes",Master,14,Manufacturing,8/2/19,6.7,NeuralNet Inc,Hybrid
XYZ100,NLP Engineer,148281,GBP,Executive,Contract,Germany,M,China,100,"Hadoop, Git, R, PyTorch, Kubernetes",Bachelor,7,Government,10/1/19,5.1,AlphaByte AI,Fully Remote
XYZ101,Autonomous Systems Engineer,117854,USD,Entry_Level,Part Time,Switzerland,L,United States,0,"Computer Vision, NLP, AWS, Data Visualization, MLOps",Bachelor,8,Retail,5/11/19,9.3,AlphaByte AI,On-site
XYZ102,Deep Learning Engineer,87825,EUR,Senior,Full Time,Switzerland,L,Sweden,50,"Git, Mathematics, Linux, Statistics, GCP",Associate,4,Technology,7/4/19,6.0,NextGen Analytics,Hybrid
XYZ103,Data Scientist,71613,EUR,Mid,Contract,France,S,Finland,0,"Statistics, Kubernetes, PyTorch, Java, SQL",Bachelor,3,Gaming,7/22/19,8.9,AlphaByte AI,On-site
XYZ104,Data Scientist,82861,GBP,Mid,Full Time,Canada,M,China,50,"Hadoop, AWS, Scala, Mathematics, Data Visualization",PhD,3,Automotive,12/17/19,7.6,NextGen Analytics,Hybrid
XYZ105,AI Consultant,73356,EUR,Mid,Part Time,Japan,M,Japan,50,"Computer Vision, Mathematics, Kubernetes, Deep Learning, R",Bachelor,4,Energy,3/17/19,8.1,NeuralNet Inc,Hybrid
XYZ106,Deep Learning Engineer,84860,EUR,Entry_Level,Part Time,Austria,S,Finland,0,"SQL, NLP, Tableau, Java, GCP",Bachelor,1,Energy,2/11/19,5.3,Visionary AI,On-site
XYZ107,Data Engineer,90576,USD,Senior,Freelancer,Finland,M,Finland,50,"Azure, Statistics, NLP, AWS, Deep Learning",Bachelor,13,Technology,8/18/19,8.6,AlphaByte AI,Hybrid
XYZ108,Head of AI,144640,USD,Executive,Contract,Germany,M,Finland,100,"Git, AWS, PyTorch, Kubernetes, Data Visualization",Bachelor,15,Healthcare,2/18/19,5.7,NeuralNet Inc,Fully Remote
XYZ109,Machine Learning Researcher,94672,GBP,Entry_Level,Contract,Norway,S,Finland,50,"Java, Computer Vision, Spark, SQL, Scala",Bachelor,12,Consulting,11/2/19,8.4,NextGen Analytics,Hybrid
XYZ110,Machine Learning Engineer,82897,EUR,Entry_Level,Part Time,Israel,L,Singapore,100,"NLP, SQL, PyTorch, Kubernetes, Azure",Bachelor,4,Automotive,1/12/19,6.6,NextGen Analytics,Fully Remote
XYZ111,ML Ops Engineer,95785,GBP,Mid,Full Time,China,S,Japan,100,"Hadoop, Linux, MLOps, NLP, Statistics",Associate,10,Energy,6/16/19,8.7,Visionary AI,Fully Remote
XYZ112,Computer Vision Engineer,118244,GBP,Entry_Level,Freelancer,South Korea,M,China,50,"NLP, Kubernetes, Mathematics, Scala, Deep Learning",Bachelor,9,Energy,2/23/19,7.0,Visionary AI,Hybrid
XYZ113,AI Research Scientist,149080,GBP,Senior,Contract,Sweden,M,Switzerland,100,"Statistics, Python, TensorFlow, Linux, Data Visualization",Master,6,Manufacturing,6/27/19,8.5,Quantum Minds,Fully Remote
XYZ114,Head of AI,145950,USD,Entry_Level,Freelancer,Finland,L,United States,50,"Computer Vision, Tableau, Java, GCP, Data Visualization",PhD,0,Consulting,9/23/19,8.6,Quantum Minds,Hybrid
XYZ115,AI Product Manager,121567,GBP,Entry_Level,Full Time,Austria,S,China,100,"Docker, Kubernetes, Scala, Spark, Statistics",Bachelor,5,Education,10/26/19,5.3,NeuralNet Inc,Fully Remote
XYZ116,Data Engineer,107333,EUR,Executive,Full Time,South Korea,S,Netherlands,50,"Kubernetes, Hadoop, NLP, Git, Linux",PhD,6,Energy,1/26/19,6.1,NextGen Analytics,Hybrid
XYZ117,AI Architect,83611,USD,Entry_Level,Part Time,Canada,M,Denmark,0,"MLOps, PyTorch, Computer Vision, TensorFlow, Docker",Associate,12,Technology,11/3/19,5.8,AlphaByte AI,On-site
XYZ118,Deep Learning Engineer,145297,EUR,Senior,Freelancer,France,M,France,100,"Computer Vision, Python, R, Deep Learning, Spark",Bachelor,4,Finance,12/10/19,6.2,Quantum Minds,Fully Remote
XYZ119,Machine Learning Researcher,76209,USD,Mid,Full Time,France,M,Canada,50,"Docker, Hadoop, Git, AWS, Statistics",Bachelor,7,Real Estate,2/17/19,5.6,Quantum Minds,Hybrid
XYZ120,Machine Learning Engineer,67691,EUR,Senior,Full Time,Singapore,L,Israel,50,"MLOps, Python, Hadoop, AWS, PyTorch",Bachelor,11,Finance,10/6/19,6.4,AlphaByte AI,Hybrid
XYZ121,Deep Learning Engineer,79374,EUR,Mid,Part Time,Austria,L,Israel,0,"Azure, Computer Vision, PyTorch, Kubernetes, MLOps",PhD,12,Healthcare,9/12/19,5.0,Quantum Minds,On-site
XYZ122,Data Scientist,113192,USD,Executive,Contract,France,L,Netherlands,50,"Docker, Linux, Mathematics, Azure, Tableau",Associate,14,Energy,8/12/19,9.6,Visionary AI,Hybrid
XYZ123,AI Architect,139045,EUR,Executive,Part Time,Norway,L,Switzerland,100,"Kubernetes, Git, AWS, Java, Mathematics",PhD,8,Gaming,10/28/19,7.4,Quantum Minds,Fully Remote
XYZ124,AI Specialist,127730,EUR,Entry_Level,Contract,France,S,Norway,50,"Tableau, Mathematics, TensorFlow, MLOps, NLP",Master,0,Telecommunications,10/13/19,7.6,NeuralNet Inc,Hybrid
XYZ125,AI Consultant,152656,USD,Mid,Contract,Japan,M,Austria,50,"Kubernetes, TensorFlow, Tableau, AWS, Python",Master,4,Manufacturing,9/9/19,7.5,NextGen Analytics,Hybrid
XYZ126,ML Ops Engineer,156361,EUR,Entry_Level,Part Time,Singapore,S,Japan,50,"Python, SQL, Computer Vision, Statistics, Azure",Associate,4,Retail,1/28/19,8.9,Visionary AI,Hybrid
XYZ127,Machine Learning Researcher,136295,USD,Entry_Level,Contract,Norway,M,Austria,50,"PyTorch, Mathematics, Kubernetes, Computer Vision, Java",Master,2,Transportation,2/26/19,5.9,Visionary AI,Hybrid
XYZ128,AI Research Scientist,97051,GBP,Senior,Full Time,Germany,S,Australia,50,"Scala, Python, Git, Statistics, AWS",Associate,3,Consulting,10/5/19,7.4,Visionary AI,Hybrid
XYZ129,AI Software Engineer,160387,GBP,Mid,Contract,Switzerland,S,Denmark,50,"Git, SQL, MLOps, Java, Tableau",PhD,4,Telecommunications,6/3/19,6.8,Visionary AI,Hybrid
XYZ130,Head of AI,102269,EUR,Entry_Level,Part Time,Denmark,S,South Korea,50,"Python, Spark, Azure, GCP, SQL",Master,9,Transportation,2/21/19,9.5,Visionary AI,Hybrid
XYZ131,AI Product Manager,79425,USD,Mid,Freelancer,Norway,S,Denmark,50,"Docker, Scala, Spark, GCP, Mathematics",PhD,10,Retail,6/4/19,9.3,NextGen Analytics,Hybrid
XYZ132,Data Engineer,63783,GBP,Executive,Contract,India,M,Canada,0,"Scala, GCP, Kubernetes, Statistics, Azure",Associate,9,Healthcare,1/18/19,6.9,Visionary AI,On-site
